,energy_source_name,company_name,city,tso_region,latitude,longitude,asset_count,total_generation_capacity_mw
185,Biomass,electricville Contracting GmbH,Hannover,TenneT,52.336714,9.700378,1,0.14
186,Biomass,electricville Contracting GmbH,Meersburg,TransnetBW,47.704913,9.271325,1,0.14
187,Solar,electricville AG,Hamburg,50Hertz,53.626674,10.16861,6,0.1098
188,Solar,electricville AG,Hannover,TenneT,52.377662,9.798931,9,0.1086
189,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.323222,9.700408,2,0.10500000000000001
190,Solar,electricville AG,Langenhagen,TenneT,52.43903,9.728997,1,0.09941
191,Solar,electricville AG,Hannover,TenneT,52.373278,9.719081,4,0.09937
192,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.355107,9.765305,1,0.098
193,Solar,electricville AG,Oldenburg,TenneT,53.179082,8.230082,1,0.0968
194,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.35862,9.824663,1,0.0924
195,Solar,electricville AG,Ludwigsburg,TransnetBW,48.893692,9.225544,1,0.08881
196,Solar,electricville AG,Celle,TenneT,52.6122,10.0402,4,0.08
197,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.374213,9.66952,2,0.07500000000000001
198,Solar,electricvilleSolution GmbH,Paulinenaue,50Hertz,52.663396,12.735838,1,0.0726
199,Solar,electricville AG,Hannover,TenneT,52.337125,9.769098,5,0.064
200,Solar,electricville AG,Hannover,TenneT,52.381221,9.736011,1,0.06177
201,Solar,Fiba Stromservice GmbH,Coesfeld,Amprion,51.9435,7.1681,2,0.0592
202,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.4008,9.7217,2,0.05
203,Biomass,electricville AG,Burgwedel,TenneT,52.579186,9.854877,1,0.05
204,Solar,electricville AG,Hannover,TenneT,52.373722,9.768345,1,0.05
205,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.339554,9.756046,1,0.05
206,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.368421,9.699616,1,0.05
207,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.372904,9.74608,1,0.05
208,Solar,electricvilleSolution GmbH,Ronnenberg,TenneT,52.3194,9.6554,2,0.049100000000000005
209,Solar,Gemeindewerk Wunstorf GmbH ＆ Co. KG,Wunstorf,TenneT,52.4278,9.4314,4,0.0490099999999999
210,Solar,electricvilleSolution GmbH,Hamburg,50Hertz,53.579034,10.036789,1,0.041
211,Solar,electricville AG,Hannover,TenneT,52.3586,9.7558,2,0.0315
212,Solar,electricville AG,Hannover,TenneT,52.3667,9.7167,1,0.03
213,Solar,electricville AG,Hannover,TenneT,52.3736,9.7371,1,0.0288
214,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.3697,9.7521,1,0.02436
215,Solar,electricville AG,Hamburg,50Hertz,53.5497,9.9794,3,0.024
216,Solar,electricvilleSolution GmbH,Freiburg,TransnetBW,47.9793,7.822,2,0.0225
217,Biomass,electricville Contracting GmbH,Hannover,TenneT,52.3874,9.7465,1,0.022
218,Biomass,electricville Contracting GmbH,Hemmingen,TenneT,52.3143,9.7236,1,0.022
219,Biomass,electricville Contracting GmbH,Garbsen,TenneT,52.4353,9.611,1,0.02
220,Solar,Fiba Stromservice GmbH,Bad Salzdetfurth,TenneT,52.06,10.01,1,0.02
221,Solar,Fiba Stromservice GmbH,Halle,50Hertz,51.483,11.972,1,0.02
222,Solar,electricville AG,Hannover,TenneT,52.4008,9.7217,1,0.02
223,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.3973,9.7707,1,0.02
224,Solar,electricville AG,Hannover,TenneT,52.4026,9.7939,1,0.01988
225,Solar,electricville AG,Hasloh,TenneT,53.6667,9.9167,2,0.018000000000000002
226,Biomass,electricville Contracting GmbH,Hannover,TenneT,52.3613,9.8344,1,0.016
227,Solar,electricville AG,Hannover,TenneT,52.3697,9.7521,1,0.012
228,Solar,electricville Contracting Nord,Husby,TenneT,54.7333,9.5667,1,0.0105
229,Solar,electricvilleSolution GmbH,Lehrte,TenneT,52.3719,9.9792,1,0.01
230,Solar,electricville Contracting GmbH,Östringen,TransnetBW,49.2191,8.7119,1,0.008
231,Solar,electricvilleSolution GmbH,Hannover,TenneT,52.3895,9.8502,1,0.008
232,Biomass,electricville Contracting GmbH,Bad Bentheim,TenneT,52.3007,7.1576,1,0.0075
233,Biomass,electricville Contracting GmbH,Barsbüttel,TenneT,53.5667,10.1667,1,0.0072
234,Biomass,electricville Contracting Nord,Hamburg,50Hertz,53.5847,9.7564,1,0.0072
235,Solar,Fiba Stromservice GmbH,Sülzetal,50Hertz,52.0167,11.55,1,0.0046
236,Solar,Lancepower GmbH,Teltow,50Hertz,52.4031,13.2601,1,0.002025
237,Solar,pth GmbH,Ahlden,TenneT,52.7601,9.5543,1,0.0008
238,Solar,pth GmbH,Hademstorf,TenneT,52.7121,9.6139,1,0.0008
239,Solar,pth GmbH,Hemmingen,TenneT,52.3143,9.7236,1,0.0008
240,Solar,pth GmbH,Hodenhagen,TenneT,52.7589,9.5888,1,0.0008
